species,state,year,lake.id,level,linf,k,t0,minage,maxage
bluegill,in,2004,401,lakeyear,324.6695095,0.008618551,-1.158664874,1,7
bluegill,in,2000,509,lakeyear,30.50449307,0.125951695,-0.486450392,1,7
bluegill,in,1999,449,lakeyear,34.92159704,0.19229553,-0.044055834,1,5
bluegill,in,2004,425,lakeyear,85.62635177,0.052120797,0.416586896,1,6
bluegill,in,2002,396,lakeyear,32.32652493,0.144415271,0.006873555,1,8
bluegill,in,1996,497,lakeyear,29.62247442,0.207857669,0.013837608,1,6
bluegill,in,1996,482,lakeyear,26.37677236,0.222484847,-0.212836074,1,6
bluegill,in,2004,460,lakeyear,162.4792815,0.023248611,-0.019066063,1,7
bluegill,in,2004,362,lakeyear,24.6650869,0.31329328,0.422495634,1,7
bluegill,in,2001,435,lakeyear,54.00967555,0.078175143,-0.012988724,1,6
bluegill,in,1996,502,lakeyear,26.12202034,0.297306976,-0.14946876,1,6
bluegill,in,1996,490,lakeyear,32.78214651,0.15652013,0.229927012,1,6
bluegill,in,2001,501,lakeyear,27.21904395,0.330500659,0.226287444,1,5
bluegill,in,1994,181,lakeyear,22.85340463,0.3819586,0.190057773,1,5
bluegill,in,2001,367,lakeyear,37.56641761,0.112439507,-0.667848032,1,8
bluegill,in,2003,375,lakeyear,31.95536103,0.141035247,-0.625030009,1,7
bluegill,in,1995,375,lakeyear,461535202,5.38469374424776e-09,-1.4719118,1,7
bluegill,in,1987,51,lakeyear,18.3966299,0.67840781,0.10706325,1,7
bluegill,in,2009,606,lakeyear,25.84465805,0.369579213,0.883302503,1,7
bluegill,in,2009,613,lakeyear,23.90651583,0.361673178,0.464616045,1,8
bluegill,in,2008,615,lakeyear,97.6666644,0.028329569,-1.071219634,1,7
bluegill,in,1994,558,lakeyear,81.96165029,0.037346174,-0.799447339,1,7
bluegill,in,1995,612,lakeyear,42.91741499,0.085500203,-0.02368371,1,8
bluegill,in,1997,568,lakeyear,22.96495795,0.457235003,0.411438677,1,8
bluegill,in,1994,355,lakeyear,18.16939772,0.181353198,-2.763340559,1,7
bluegill,in,1993,371,lakeyear,25.5251406,0.3505441,0.625095665,1,6
bluegill,in,1992,474,lakeyear,37.26581664,0.108066728,-0.618068645,1,7
bluegill,in,1992,493,lakeyear,23.00148582,0.388824769,0.40293271,1,7
bluegill,in,1992,504,lakeyear,20.65730851,0.328864692,0.080811289,1,6
bluegill,in,1991,513,lakeyear,23.97319204,0.317490576,0.12961415,1,8
bluegill,in,1994,515,lakeyear,26.57990141,0.254484316,-0.028654557,1,6
bluegill,in,1994,360,lakeyear,22.76888481,0.151997249,-1.879437032,1,7
bluegill,in,1988,385,lakeyear,25.00037711,0.167766655,-0.274556683,1,8
bluegill,in,1987,395,lakeyear,34.34244304,0.102573253,-0.633324395,1,8
bluegill,in,1987,187,lakeyear,21.63909052,0.241766639,0.350681622,2,7
bluegill,in,1987,235,lakeyear,20.25716114,0.35514848,1.657424526,3,7
bluegill,in,1995,413,lakeyear,33.56189552,0.175105026,0.245943564,1,7
bluegill,in,1987,416,lakeyear,27.11268285,0.285118827,0.37102144,1,6
bluegill,in,1991,417,lakeyear,18.76511101,0.526636319,-0.056040877,1,7
bluegill,in,2009,148,lakeyear,22.38251358,0.266440133,-1.148911525,1,8
bluegill,in,1992,436,lakeyear,22.69371509,0.218498245,0.059275886,1,7
bluegill,in,1995,436,lakeyear,36.66378214,0.1074444,-0.383434562,1,6
bluegill,in,1991,435,lakeyear,28.04341796,0.199449907,0.238371155,1,7
bluegill,in,1993,502,lakeyear,30.60235771,0.215925076,0.289574971,1,7
bluegill,in,1993,471,lakeyear,25.73960499,0.299787384,0.303555775,1,6
bluegill,in,1992,501,lakeyear,53.21298681,0.101970553,0.053398029,1,7
bluegill,in,1990,507,lakeyear,19.1097926,0.487370378,0.678762404,1,7
bluegill,in,1994,507,lakeyear,23.61534349,0.26012991,-0.296959891,1,7
bluegill,in,2006,12,lakeyear,24.12885871,0.289268425,-0.397115101,1,6
bluegill,in,1998,507,lakeyear,19.36447375,0.49474975,0.074418243,1,6
bluegill,in,1990,59,lakeyear,20.23744943,0.455161695,0.7348422,2,8
bluegill,in,2002,88,lakeyear,23.88303354,0.385423062,0.933865453,2,8
bluegill,in,2001,108,lakeyear,25.37080436,0.359423808,0.14239685,1,5
bluegill,in,2002,92,lakeyear,34.88873133,0.152949665,-0.468636265,1,7
bluegill,in,2002,69,lakeyear,35.49328836,0.213582521,0.076106474,1,7
bluegill,in,1995,147,lakeyear,27.97160255,0.206871469,0.675584686,2,7
bluegill,in,1992,508,lakeyear,15822.42222,0.000178596,-0.967668687,1,6
bluegill,in,1991,517,lakeyear,26.46773152,0.165593004,-0.395481702,1,8
bluegill,in,1989,64,lakeyear,25.69963088,0.290226547,-0.436989978,1,6
bluegill,in,1995,517,lakeyear,454.2476964,0.004945898,-1.315458425,1,8
bluegill,in,1991,370,lakeyear,31.27778778,0.163168013,-0.112309223,1,8
bluegill,in,1999,384,lakeyear,54.31969215,0.069434338,-0.513354192,1,7
bluegill,in,2004,472,lakeyear,48.52079202,0.0797779,-0.719199299,1,5
bluegill,in,2002,547,lakeyear,38.48674377,0.149701498,0.026763291,1,7
bluegill,in,1993,396,lakeyear,22.98048449,0.264530122,0.029293167,1,8
bluegill,in,2000,550,lakeyear,76.63967316,0.066413394,-0.080516593,1,6
bluegill,in,2005,339,lakeyear,23.80826855,0.35942679,0.129358516,1,6
bluegill,in,2000,121,lakeyear,25.05807528,0.367660236,-0.293650897,1,5
walleye,in,2007,577,lakeyear,56.27447533,0.344014211,-0.941567065,0,7
walleye,in,2009,86,lakeyear,35.56716376,119.5115485,-0.006490729,0,6
yellow_perch,in,2001,606,lakeyear,28.32799451,0.619828689,0.321700742,2,7
yellow_perch,in,1991,370,lakeyear,38.52859085,0.160486059,-0.682586067,1,7
yellow_perch,in,2000,64,lakeyear,33.47999804,0.138551391,-2.456644195,1,6
largemouth_bass,in,2009,{A25262D7-430C-4DC3-91D0-17E2F778EFDE},lakeyear,34.2500003,128775383.2,-0.146831168,1,10
largemouth_bass,in,2008,507,lakeyear,49.18804694,0.275407067,0.583155569,2,9
largemouth_bass,in,2007,473,lakeyear,54.14116915,0.158186134,-0.645103829,1,7
largemouth_bass,in,2006,550,lakeyear,48.69700758,0.275881754,0.180498548,1,6
largemouth_bass,in,2002,613,lakeyear,30.57785502,12558.04355,0.988078437,1,7
largemouth_bass,in,2002,615,lakeyear,32.10928966,35.33623174,0.985863322,1,9
largemouth_bass,in,2001,606,lakeyear,59.73633935,0.186208592,-0.215172066,1,7
largemouth_bass,in,2005,551,lakeyear,27.984375,1.24035272552219e+30,-11.90994065,1,8
largemouth_bass,in,2002,616,lakeyear,50.78152765,0.18956922,-0.426376212,1,9
largemouth_bass,in,2003,604,lakeyear,39.63143674,0.288516081,-0.160708755,1,8
largemouth_bass,in,2006,601,lakeyear,50.36335934,0.24277393,0.10474062,1,8
largemouth_bass,in,1999,457,lakeyear,79.37551203,0.114814611,-0.305842803,1,6
largemouth_bass,in,1996,418,lakeyear,46.2478519,0.276355614,-0.222675442,1,7
largemouth_bass,in,2001,417,lakeyear,44.23926579,0.388622585,0.388936935,1,5
largemouth_bass,in,2002,507,lakeyear,51.06667615,0.181616834,-0.972905528,1,5
largemouth_bass,in,2003,390,lakeyear,50.41263703,0.22456521,-0.220738955,1,9
largemouth_bass,in,2000,413,lakeyear,37.88659161,0.418793231,0.043633227,1,6
largemouth_bass,in,1997,382,lakeyear,46.3077298,0.241661782,-0.019485649,1,6
largemouth_bass,in,2006,400,lakeyear,68.7922606,0.126159375,-0.609037424,1,6
largemouth_bass,in,2005,402,lakeyear,294.3568134,0.02053372,-1.164088818,1,8
largemouth_bass,in,2000,426,lakeyear,43.84778525,0.261738347,-0.329280424,1,6
largemouth_bass,in,2000,416,lakeyear,44.97733547,0.270114117,-0.019226705,1,6
largemouth_bass,in,2004,401,lakeyear,49.28320219,0.245622339,-0.074641615,1,8
largemouth_bass,in,2004,425,lakeyear,52.62061489,0.213103482,0.141596344,1,6
largemouth_bass,in,2002,396,lakeyear,70.12423678,0.10170393,-0.548147977,1,10
largemouth_bass,in,2006,553,lakeyear,25.94999999,8307080.641,-3.157495798,1,7
largemouth_bass,in,2007,83,lakeyear,64.16399328,0.179755803,0.120811474,1,5
largemouth_bass,in,2001,436,lakeyear,62.42814357,0.132184784,-0.519890702,1,6
largemouth_bass,in,1998,424,lakeyear,502.613897,0.011053082,-1.395037499,1,6
largemouth_bass,in,2004,460,lakeyear,75.11460074,0.106627581,-0.570620756,1,9
largemouth_bass,in,2009,606,lakeyear,48.49482661,0.241144825,-0.079821908,1,10
largemouth_bass,in,1996,471,lakeyear,30.57608562,2299.315606,0.372690493,1,6
largemouth_bass,in,2004,362,lakeyear,54.90688442,0.188742826,-0.058170964,1,7
largemouth_bass,in,1998,510,lakeyear,93.93638474,0.102783731,-0.241127989,1,6
largemouth_bass,in,1996,502,lakeyear,617.2377139,0.009074836,-1.686584829,1,6
largemouth_bass,in,2008,550,lakeyear,50.21707234,0.191393178,-0.592554073,1,6
largemouth_bass,in,2005,339,lakeyear,52.32666578,0.18992788,-0.750445435,1,6
largemouth_bass,in,2001,367,lakeyear,61.70490126,0.109610572,-1.023874409,1,10
largemouth_bass,in,1995,375,lakeyear,115.4532906,0.067273449,-0.767934024,1,6
largemouth_bass,in,2009,426,lakeyear,46.17986834,0.260995117,-0.44430846,0,6
largemouth_bass,in,2008,615,lakeyear,66.15390943,0.12934711,-0.647894188,1,9
largemouth_bass,in,1994,558,lakeyear,52.71304719,0.207790276,0.167854207,1,8
largemouth_bass,in,1995,612,lakeyear,56.80686826,0.148376322,-0.433823514,1,9
largemouth_bass,in,1994,341,lakeyear,51.9533726,0.258531676,-0.275174612,1,6
largemouth_bass,in,1992,246,lakeyear,45.85281353,0.202129579,-0.656915362,1,6
largemouth_bass,in,1992,318,lakeyear,101.8528106,0.056372516,-1.365041379,1,8
largemouth_bass,in,2009,108,lakeyear,44.36390364,0.392826126,0.614204871,1,10
largemouth_bass,in,1991,436,lakeyear,134.5706954,0.04913769,-0.537686893,2,8
largemouth_bass,in,1995,436,lakeyear,27790344.41,1.38411620092889e-07,-2.455435908,1,6
largemouth_bass,in,1991,435,lakeyear,73.0379238,0.079511201,-1.437564762,1,9
largemouth_bass,in,1992,473,lakeyear,98.44287419,0.071788327,-1.02029355,1,6
largemouth_bass,in,1993,502,lakeyear,85.62087316,0.085085398,-0.637353131,1,9
largemouth_bass,in,1993,471,lakeyear,51.20146525,0.195062486,-0.090346624,1,8
largemouth_bass,in,1992,501,lakeyear,87.54511924,0.078029673,-1.396026193,1,7
largemouth_bass,in,1992,507,lakeyear,164.5591307,0.050447696,0.335055218,2,6
largemouth_bass,in,1994,507,lakeyear,57.29534011,0.203711229,-0.10324998,1,7
largemouth_bass,in,2006,134,lakeyear,47.60179033,0.36690525,0.597101627,2,8
largemouth_bass,in,1991,12,lakeyear,155.9271468,0.045150119,-0.943740573,1,7
largemouth_bass,in,1992,508,lakeyear,55.94457416,0.16522258,-1.03678684,1,6
largemouth_bass,in,1991,517,lakeyear,60.62261376,0.149321259,-0.396259556,1,7
largemouth_bass,in,2002,517,lakeyear,68.21883671,0.128442716,-0.525736077,1,7
largemouth_bass,in,1991,370,lakeyear,38.23454576,0.263789301,-0.545861143,1,7
largemouth_bass,in,2004,472,lakeyear,56.30448306,0.215170731,0.539154677,2,10
largemouth_bass,in,1994,547,lakeyear,43.49725501,0.342175016,0.206826943,1,7
largemouth_bass,in,1992,547,lakeyear,47.13420217,0.294824833,-0.380691355,1,7
largemouth_bass,in,2002,547,lakeyear,27.66666641,289.0699165,0.878645668,1,8
largemouth_bass,in,2000,550,lakeyear,59.77682623,0.182072468,-0.303345608,1,5
largemouth_bass,in,2000,64,lakeyear,68.85406751,0.109893757,-1.1923239,1,8
largemouth_bass,in,1999,384,lakeyear,112.8629739,0.061002804,-1.000193381,1,6
black_crappie,in,2008,507,lakeyear,213.4637478,0.016246482,-2.701956848,1,7
black_crappie,in,2001,405,lakeyear,20.09045002,0.670894227,0.111568093,1,5
yellow_perch,mi,2006,1-165,lakeyear,1545564766,2.61998091500125e-09,-1.112124462,0,7
yellow_perch,mi,2003,28-56,lakeyear,42.65046379,0.084306634,-1.198386265,2,7
yellow_perch,mi,2003,8-141,lakeyear,25.22976244,0.403357847,0.213357786,1,7
yellow_perch,mi,2003,38-568,lakeyear,25.21967166,0.641052929,0.395780804,1,7
yellow_perch,mi,2003,36-2067,lakeyear,9.45631024,7.01461437,-0.903247736,2,6
yellow_perch,mi,2003,4-Jan,lakeyear,51.86162032,0.108711483,-0.888897631,2,7
yellow_perch,mi,2003,48-53,lakeyear,71.30491795,0.057786243,-1.098661735,1,7
yellow_perch,mi,2003,69-316,lakeyear,73.1256699,0.051318092,-2.05024313,1,7
yellow_perch,mi,2003,41-516,lakeyear,329.3715249,0.01250325,-0.927709515,1,6
yellow_perch,mi,2003,22-383,lakeyear,96.35079487,0.040032016,-1.992588667,1,6
yellow_perch,mi,2003,17-469,lakeyear,65.92062387,0.053334422,-0.897522158,0,7
yellow_perch,mi,2004,17-211,lakeyear,25.18779831,0.265151554,-0.305524404,1,7
yellow_perch,mi,2004,65-60,lakeyear,23.82169091,0.299311547,-0.525006631,1,5
yellow_perch,mi,2004,48-634,lakeyear,21.61566824,0.812575244,1.352058172,2,7
yellow_perch,mi,2004,2-461,lakeyear,19.6975386,0.475870461,-0.40470297,1,7
yellow_perch,mi,2004,2-775,lakeyear,27.39842714,0.24910717,-0.818782611,1,7
yellow_perch,mi,2003,27-108,lakeyear,68.23689942,0.052652042,-0.979656447,1,7
yellow_perch,mi,2004,24-Oct,lakeyear,28.87514617,0.281672319,0.025083853,1,7
yellow_perch,mi,2004,62-82,lakeyear,52.5998462,0.113055974,-0.690788537,1,7
yellow_perch,mi,2004,36-32,lakeyear,34.09533335,0.242108631,-0.137859814,1,7
yellow_perch,mi,2004,43-254,lakeyear,34.75924214,0.245930801,-0.079749197,1,7
yellow_perch,mi,2003,52-305,lakeyear,19.13803617,0.475818913,-1.031106783,0,4
yellow_perch,mi,2004,Oct-95,lakeyear,34.14585718,0.280534956,0.005877419,1,5
yellow_perch,mi,2004,31-585,lakeyear,457.5074884,0.006398119,-1.314913389,0,7
yellow_perch,mi,2005,42-36,lakeyear,18.36350397,1.137975965,0.822583386,1,6
yellow_perch,mi,2005,17-209,lakeyear,19.3975394,0.800258464,0.462729709,1,5
yellow_perch,mi,2005,27-520,lakeyear,36.53099474,0.097130587,-1.565730268,1,7
yellow_perch,mi,2005,2-720,lakeyear,61.62314272,0.071975551,-1.153654755,0,6
yellow_perch,mi,2005,54-90,lakeyear,46.2419415,0.083912646,0.066326427,2,7
yellow_perch,mi,2006,15-21,lakeyear,16.03417889,1.074431783,0.648881822,1,5
yellow_perch,mi,2006,36-1529,lakeyear,40.74549525,0.201203188,0.10498301,1,7
yellow_perch,mi,2007,48-650,lakeyear,16.14541891,0.852941235,0.322281811,1,5
yellow_perch,mi,2007,18-206,lakeyear,30.62355919,0.276396149,-0.478674618,1,6
yellow_perch,mi,2007,18-123,lakeyear,28.62569924,0.111960435,-3.023099256,0,6
yellow_perch,mi,2007,69-61,lakeyear,24.21118523,0.854248049,2.694762707,3,7
yellow_perch,mi,2007,20-109,lakeyear,45.36251806,0.125869338,-0.63624494,2,7
yellow_perch,mi,2007,42-146,lakeyear,18.8125531,0.577213946,-0.387713165,0,7
yellow_perch,mi,2007,31-1178,lakeyear,31.65370009,0.150297502,-1.139708033,1,7
yellow_perch,mi,2007,31-915,lakeyear,33.82108859,0.20187296,-0.570027179,0,7
yellow_perch,mi,2008,8-619,lakeyear,25.88262939,0.227010895,-0.847880641,1,5
yellow_perch,mi,2008,40-207,lakeyear,22.71813851,0.422757011,-0.04524349,1,7
yellow_perch,mi,2008,75-744,lakeyear,37.35140848,0.079338655,-2.465898543,0,7
yellow_perch,mi,2008,52-255,lakeyear,15.21412821,1.077218728,0.043534018,1,5
yellow_perch,mi,2009,27-933,lakeyear,174.1646726,0.013746921,-4.382473485,1,7
walleye,mi,2006,1-165,lakeyear,47.35346084,0.543107927,0.100251901,1,10
walleye,mi,2004,40-117,lakeyear,56.89538651,0.137097466,-4.544124163,4,9
walleye,mi,2003,22-383,lakeyear,54.67387157,0.620895092,0.289925744,1,10
walleye,mi,2003,35-96,lakeyear,44.49999904,3.1632229748344e+29,-6.855007685,2,8
walleye,mi,2004,17-211,lakeyear,62.14226267,0.330421894,0.280251877,2,10
walleye,mi,2004,63-2,lakeyear,54.62154428,1.170765207,1.676111816,2,10
walleye,mi,2004,65-79,lakeyear,64.35158496,0.238460925,-0.51447673,1,10
walleye,mi,2003,27-108,lakeyear,43.31029757,5.201548813,-2.220878096,1,10
walleye,mi,2004,42-86,lakeyear,46.91929309,0.493945709,0.212472178,1,10
walleye,mi,2005,17-209,lakeyear,37.1142857,117.6046161,0.995435558,1,8
walleye,mi,2006,7-285,lakeyear,74.03222132,0.112246936,-2.133804963,1,10
walleye,mi,2006,81-266,lakeyear,54.31255789,0.414625501,-0.224068087,1,9
walleye,mi,2006,36-849,lakeyear,43.54166655,177.7282029,0.99694958,1,10
walleye,mi,2006,27-761,lakeyear,1609.433611,0.003471358,-3.005831274,0,7
walleye,mi,2007,79-2,lakeyear,98.51229554,0.100863272,-1.391929297,3,10
walleye,mi,2007,56-14,lakeyear,61.09144248,0.442609876,1.795386836,4,10
walleye,mi,2007,69-61,lakeyear,62.04900067,0.266131364,-1.058955956,1,10
walleye,mi,2007,52-196,lakeyear,61.97994313,0.206914673,-1.211997855,1,6
walleye,mi,2008,25-163,lakeyear,105.301276,0.080392973,-1.904511608,1,10
walleye,mi,2008,36-204,lakeyear,47.03907335,0.286155185,-0.352896373,1,8
walleye,mi,2008,68-142,lakeyear,53.64704555,0.44523343,-0.080073991,2,10
walleye,mi,2008,Aug-84,lakeyear,66.18544074,0.255941511,-0.560430436,1,10
walleye,mi,2008,61-66,lakeyear,43.60714279,6.07391246329728e+31,0.557066773,1,8
walleye,mi,2009,51-142,lakeyear,31.09756441,15912253.23,-6.169371664,1,10
northern_pike,mi,2003,May-89,lakeyear,50.36273961,1.211573689,0.357644072,1,6
northern_pike,mi,2003,36-2067,lakeyear,95.16076242,0.16945047,-1.671701583,1,5
northern_pike,mi,2003,60-71,lakeyear,75.99239636,0.339594104,-0.476605211,1,6
northern_pike,mi,2003,48-53,lakeyear,3214904057,1.95622727390978e-09,-6.223338551,2,8
northern_pike,mi,2003,41-516,lakeyear,54.28571431,4.81183459547259e+68,-30.02950476,3,8
northern_pike,mi,2004,17-211,lakeyear,63.68865142,0.805789963,0.272170266,1,6
northern_pike,mi,2003,66-31,lakeyear,66.14048561,0.557200356,0.063255149,1,6
northern_pike,mi,2004,63-1650,lakeyear,55.34285568,6.00592330070396e+23,-7.902784681,2,7
northern_pike,mi,2004,48-566,lakeyear,56.79411395,17.29225866,-0.06085163,1,8
northern_pike,mi,2003,27-108,lakeyear,61.84016163,0.876112952,0.0498998,1,7
northern_pike,mi,2004,36-138,lakeyear,1.829598272,4.54863519677794e-15,8.608863502,1,8
northern_pike,mi,2004,62-81,lakeyear,0.900717152,1.46091270449253e-05,1.733703358,4,8
northern_pike,mi,2004,62-82,lakeyear,4966440241,8.17143252369737e-10,-7.631593473,3,8
northern_pike,mi,2004,75-742,lakeyear,610.8401158,0.01594788,-2.209849957,0,8
northern_pike,mi,2004,59-99,lakeyear,53.63333339,4.42836600958692e+40,-14.54974831,2,8
northern_pike,mi,2005,May-97,lakeyear,0.913972412,7.38933286047109e-06,2.563462729,1,7
northern_pike,mi,2004,27-696,lakeyear,101.2718425,0.105328953,-4.433832492,2,7
northern_pike,mi,2005,16-250,lakeyear,86.08481314,0.262574457,-0.172327384,1,7
northern_pike,mi,2005,42-36,lakeyear,124.5047989,0.186836811,-0.280785209,1,8
northern_pike,mi,2005,39-270,lakeyear,90.03103487,0.213828479,-1.350973646,1,8
northern_pike,mi,2005,4-Apr,lakeyear,119.7711756,0.13626516,-1.997314272,1,6
northern_pike,mi,2005,17-209,lakeyear,43.46808528,75505111510386212864,-12.8259192,1,5
northern_pike,mi,2005,27-520,lakeyear,56.14516132,1.60988394547233e+37,-19.34364129,3,8
northern_pike,mi,2006,7-285,lakeyear,1.503195597,5.38580516256467e-13,7.653453057,1,6
northern_pike,mi,2006,36-849,lakeyear,1.952754081,5.54737107179809e-06,1.669840531,1,6
northern_pike,mi,2006,22-375,lakeyear,1.873532926,1.47020425307269e-05,2.431098999,1,8
northern_pike,mi,2007,40-145,lakeyear,181.7495057,0.016991889,-15.54398802,2,7
northern_pike,mi,2007,48-650,lakeyear,525661812,1.35913307013568e-08,-3.55987652,1,8
northern_pike,mi,2007,56-14,lakeyear,110.6008739,0.101770082,-3.243721139,1,8
northern_pike,mi,2007,69-61,lakeyear,75.15642249,0.989065099,0.781047525,2,8
northern_pike,mi,2007,55-31,lakeyear,5.656259946,3.60683105424959e-11,4.418396079,0,6
northern_pike,mi,2008,18-69,lakeyear,1.400308521,4.64252318046018e-13,6.72505502,2,6
northern_pike,mi,2008,36-204,lakeyear,1.673048994,4.01894119472938e-05,2.411286747,1,6
northern_pike,mi,2008,18-57,lakeyear,64.74068331,0.832691217,0.643600589,2,6
northern_pike,mi,2008,47-153,lakeyear,5.197670567,1.40466302324067e-16,7.591807842,1,8
northern_pike,mi,2008,26-23,lakeyear,81.59544898,0.268413268,-0.838158337,1,6
northern_pike,mi,2009,48-681,lakeyear,49.17073177,53147742805625920,-6.969875126,1,6
northern_pike,mi,2008,61-66,lakeyear,130.6463665,0.131823569,-1.655469815,1,7
northern_pike,mi,2009,54-136,lakeyear,1.227045867,1.35223851175327e-05,2.28594967,1,6
northern_pike,mi,2008,52-255,lakeyear,52.45161325,13257325.22,-0.83367029,2,7
northern_pike,mi,2009,27-933,lakeyear,343.3149158,0.027099998,-2.503265954,0,5
smallmouth_bass,mi,2006,1-165,lakeyear,50.90688962,0.264257262,-0.160725917,1,8
smallmouth_bass,mi,2003,28-187,lakeyear,50.09384344,0.322795508,0.615931108,1,8
smallmouth_bass,mi,2004,40-117,lakeyear,40.52484578,0.405929468,-0.025820036,1,7
smallmouth_bass,mi,2003,48-53,lakeyear,52.01198392,0.279837628,0.180833101,1,8
smallmouth_bass,mi,2003,26-2,lakeyear,66.53673322,0.153401732,0.05245405,2,8
smallmouth_bass,mi,2004,63-2,lakeyear,77.45842604,0.11684768,0.198393,1,8
smallmouth_bass,mi,2004,40-104,lakeyear,29.43150685,8048.969976,1.484687633,2,8
smallmouth_bass,mi,2004,2-775,lakeyear,105.1488614,0.073472386,-0.252036349,1,8
smallmouth_bass,mi,2004,48-566,lakeyear,30.24242423,4.77453003290899e+31,-20.83496521,2,6
smallmouth_bass,mi,2004,60-217,lakeyear,65.08120362,0.150091977,-0.746164569,1,8
smallmouth_bass,mi,2004,16-205,lakeyear,97.65202305,0.065953571,-1.928184456,2,8
smallmouth_bass,mi,2004,24-Oct,lakeyear,30.64103024,264698280.7,0.993272696,1,8
smallmouth_bass,mi,2004,75-474,lakeyear,3465169881,1.91657947487906e-09,-0.877553807,1,6
smallmouth_bass,mi,2004,36-32,lakeyear,40.54269149,0.548510463,0.59101245,1,8
smallmouth_bass,mi,2004,27-117,lakeyear,43.43135121,0.29539544,0.322599553,2,7
smallmouth_bass,mi,2004,31-585,lakeyear,47.33152552,0.481636744,0.561323637,2,8
smallmouth_bass,mi,2004,42-86,lakeyear,43.91579008,0.269517628,0.491144847,1,8
smallmouth_bass,mi,2005,42-36,lakeyear,30.20587387,1.26726528310542e+27,-18.86764963,2,8
smallmouth_bass,mi,2005,4-Apr,lakeyear,55.35260231,0.243618652,0.201277669,4,8
smallmouth_bass,mi,2005,66-377,lakeyear,46.45945088,0.305528314,0.242437583,2,8
smallmouth_bass,mi,2006,60-166,lakeyear,57.58407853,0.192290385,0.383753402,2,8
smallmouth_bass,mi,2006,81-266,lakeyear,200.6622858,0.033955517,-0.436484343,1,6
smallmouth_bass,mi,2006,66-575,lakeyear,44.76703704,0.257730234,-0.218144355,2,8
smallmouth_bass,mi,2007,56-14,lakeyear,45.13851823,0.524898643,1.287046068,2,8
smallmouth_bass,mi,2007,65-104,lakeyear,30.09616083,2375150623,-6.247794034,0,8
smallmouth_bass,mi,2007,69-61,lakeyear,49.3340466,0.310807548,0.163059001,1,8
smallmouth_bass,mi,2007,42-146,lakeyear,38.17122606,0.287807886,0.273282726,1,7
smallmouth_bass,mi,2007,31-1178,lakeyear,49.12976373,0.25827781,-0.005312967,1,8
smallmouth_bass,mi,2007,52-259,lakeyear,30.09069094,0.426497126,0.350903111,1,7
smallmouth_bass,mi,2008,25-163,lakeyear,28.43749994,2.84917714389926e+28,-15.73942207,1,7
smallmouth_bass,mi,2008,36-204,lakeyear,45.43204716,0.397532507,0.421814826,1,7
